188.5#4.53#1443253743.39#09:49, 26. Sep 2015
187.1#4.5#1443260915.87#11:48, 26. Sep 2015
186.6#4.49#1443268088.67#13:48, 26. Sep 2015
185.9#4.5#1443275262.29#15:47, 26. Sep 2015
185.9#4.52#1443282436.8#17:47, 26. Sep 2015
187.0#4.52#1443289611.53#19:46, 26. Sep 2015
187.3#4.53#1443296786.04#21:46, 26. Sep 2015
189.3#4.5#1443303959.92#23:45, 26. Sep 2015
190.0#4.53#1443311133.37#01:45, 27. Sep 2015
190.0#4.5#1443318306.31#03:45, 27. Sep 2015
190.0#4.51#1443325479.02#05:44, 27. Sep 2015
190.0#4.49#1443332651.31#07:44, 27. Sep 2015
190.0#4.49#1443339823.4#09:43, 27. Sep 2015
190.0#4.51#1443346994.99#11:43, 27. Sep 2015
190.0#4.5#1443354167.19#13:42, 27. Sep 2015
190.0#4.48#1443361340.29#15:42, 27. Sep 2015
190.0#4.53#1443368514.18#17:41, 27. Sep 2015
190.0#4.5#1443375688.22#19:41, 27. Sep 2015
190.0#4.53#1443382861.72#21:41, 27. Sep 2015
190.0#4.47#1443390034.54#23:40, 27. Sep 2015
190.0#4.48#1443397206.62#01:40, 28. Sep 2015
190.0#4.47#1443404378.33#03:39, 28. Sep 2015
190.0#4.51#1443411549.34#05:39, 28. Sep 2015
190.0#4.51#1443418719.35#07:38, 28. Sep 2015
190.0#4.51#1443425888.83#09:38, 28. Sep 2015
190.0#4.49#1443433058.06#11:37, 28. Sep 2015
190.0#4.46#1443440227.94#13:37, 28. Sep 2015
190.0#4.51#1443447398.98#15:36, 28. Sep 2015
190.0#4.48#1443454570.73#17:36, 28. Sep 2015
190.0#4.49#1443461743.88#19:35, 28. Sep 2015
190.0#4.51#1443468917.97#21:35, 28. Sep 2015
190.0#4.5#1443476090.94#23:34, 28. Sep 2015
190.0#4.47#1443483262.63#01:34, 29. Sep 2015
190.0#4.5#1443490433.39#03:33, 29. Sep 2015
190.0#4.49#1443497603.0#05:33, 29. Sep 2015
190.0#4.51#1443504771.89#07:32, 29. Sep 2015
190.0#4.47#1443511940.32#09:32, 29. Sep 2015
190.0#4.49#1443519108.69#11:31, 29. Sep 2015
190.0#4.53#1443526277.37#13:31, 29. Sep 2015
190.0#4.44#1443533447.33#15:30, 29. Sep 2015
190.0#4.5#1443540618.06#17:30, 29. Sep 2015
190.0#4.48#1443547789.99#19:29, 29. Sep 2015
190.0#4.5#1443554961.85#21:29, 29. Sep 2015
190.0#4.5#1443562133.15#23:28, 29. Sep 2015
190.0#4.5#1443569303.92#01:28, 30. Sep 2015
190.0#4.47#1443576473.84#03:27, 30. Sep 2015
190.0#4.53#1443583643.57#05:27, 30. Sep 2015
190.0#4.53#1443590812.9#07:26, 30. Sep 2015
190.0#4.49#1443597981.86#09:26, 30. Sep 2015
190.0#4.52#1443605150.67#11:25, 30. Sep 2015
190.0#4.48#1443612320.13#13:25, 30. Sep 2015
190.0#4.47#1443619490.91#15:24, 30. Sep 2015
190.0#4.49#1443626662.4#17:24, 30. Sep 2015
190.0#4.5#1443633833.6#19:23, 30. Sep 2015
190.0#4.47#1443641004.31#21:23, 30. Sep 2015
190.0#4.5#1443648174.33#23:22, 30. Sep 2015
190.0#4.5#1443655343.7#01:22, 01. Oct 2015
190.0#4.49#1443662512.31#03:21, 01. Oct 2015
190.0#4.49#1443669680.79#05:21, 01. Oct 2015
186.0#4.48#1443676848.73#07:20, 01. Oct 2015
185.8#4.5#1443684016.33#09:20, 01. Oct 2015
185.7#4.52#1443691183.59#11:19, 01. Oct 2015
185.7#4.5#1443698351.58#13:19, 01. Oct 2015
186.3#4.51#1443705521.1#15:18, 01. Oct 2015
185.7#4.53#1443712693.57#17:18, 01. Oct 2015
185.3#4.52#1443719868.26#19:17, 01. Oct 2015
185.9#4.5#1443727042.74#21:17, 01. Oct 2015
184.7#4.5#1443734216.24#23:16, 01. Oct 2015
185.6#4.45#1443741388.6#01:16, 02. Oct 2015
185.8#4.48#1443748560.29#03:16, 02. Oct 2015
185.9#4.46#1443755731.03#05:15, 02. Oct 2015
185.3#4.51#1443762901.09#07:15, 02. Oct 2015
186.0#4.46#1443770070.66#09:14, 02. Oct 2015
184.0#4.45#1443777240.27#11:14, 02. Oct 2015
183.9#4.46#1443784409.97#13:13, 02. Oct 2015
185.0#4.5#1443791580.71#15:13, 02. Oct 2015
187.8#4.48#1443798752.72#17:12, 02. Oct 2015
187.3#4.49#1443805925.59#19:12, 02. Oct 2015
185.0#4.51#1443813098.58#21:11, 02. Oct 2015
186.4#4.5#1443820271.02#23:11, 02. Oct 2015
